Section Name, Time
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 6.834e-06
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 6.125e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 5.709e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 5.166e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 4.666e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner, 4.167e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner, 3.708e-06
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 3.125e-06
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner, 2.667e-06
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner, 2.166e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner, 1.625e-06
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner, 1.083e-06
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner, 6.25e-07
bubbleSort1, 0.000107208
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 8.3e-08
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 8.3e-08
bubbleSort2-inner-inner, 8.3e-08
bubbleSort2-inner-inner, 8.3e-08
bubbleSort2-inner-inner, 8.3e-08
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 8.4e-08
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 1.25e-07
bubbleSort2-inner-inner, 8.3e-08
bubbleSort2-inner-inner, 8.4e-08
bubbleSort2, 9.208e-06
bubbleSort3-inner, 8.3e-08
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 8.4e-08
bubbleSort3-inner, 8.3e-08
bubbleSort3-inner, 8.3e-08
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 8.3e-08
bubbleSort3-inner, 8.3e-08
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 8.3e-08
bubbleSort3-inner, 8.4e-08
bubbleSort3-inner, 8.4e-08
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 1.25e-07
bubbleSort3-inner, 1.25e-07
bubbleSort3, 9.291e-06
