Section Name, Time
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner, 1.8167e-05
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 9.541e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 8.583e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner, 7.917e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 8.4e-08
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner, 7.375e-06
bubbleSort1-inner-inner, 1.25e-07
bubbleSort1-inner-inner, 8.3e-08
bubbleSort1-inner-inner, 1.25e-07
